ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
77	"ENSG00000100983.10"	"GSS"	chr20	-	34942487	34942627	34942930	34943006	34941712	34941829	34945952	34946098
78	"ENSG00000131069.19"	"ACSS2"	chr20	+	34893568	34893622	34908904	34908943	34882793	34882989	34913095	34913187
79	"ENSG00000285382.1"	"RP11-503P21.4"	chr20	-	32651732	32651981	32656575	32657968	32651017	32651166	32704022	32704071
80	"ENSG00000101336.13"	"HCK"	chr20	+	32054215	32054281	32069687	32069751	32052241	32052486	32071661	32071782
81	"ENSG00000131044.17"	"TTLL9"	chr20	+	31925872	31925960	31926048	31926091	31925008	31925049	31933799	31933858
82	"ENSG00000132639.12"	"SNAP25"	chr20	+	10292881	10292999	10293160	10293278	10284723	10284772	10296924	10297050
83	"ENSG00000088832.16"	"FKBP1A"	chr20	-	1375490	1375603	1392833	1392881	1372075	1372240	1392961	1393172
84	"ENSG00000101266.18"	"CSNK2A1"	chr20	-	492253	492364	495718	495802	489779	489881	497720	497780
85	"ENSG00000101266.18"	"CSNK2A1"	chr20	-	499254	499305	499832	499934	497720	497780	505117	505229
86	"ENSG00000101266.18"	"CSNK2A1"	chr20	-	508450	508660	527932	528049	505117	505229	543671	543732
87	"ENSG00000160439.15"	"RDH13"	chr19	-	55064295	55064412	55068412	55068530	55059156	55059275	55069321	55069529
88	"ENSG00000022556.15"	"NLRP2"	chr19	+	54977751	54977823	54981616	54981682	54974499	54974544	54982161	54983728
89	"ENSG00000186431.18"	"FCAR"	chr19	+	54875329	54875365	54880835	54880913	54874279	54874323	54885234	54885525
90	"ENSG00000189013.14"	"KIR2DL4"	chr19	+	54808832	54808883	54813124	54813228	54805950	54806244	54813689	54813742
91	"ENSG00000142405.21"	"NLRP12"	chr19	-	53795858	53796029	53798239	53798413	53793742	53794136	53801226	53801397
92	"ENSG00000167755.14"	"KLK6"	chr19	-	50967168	50967325	50968064	50968112	50963301	50963549	50968540	50968767
93	"ENSG00000090554.12"	"FLT3LG"	chr19	+	49478962	49479047	49480297	49480476	49476422	49476566	49480551	49480620
94	"ENSG00000074219.13"	"TEAD2"	chr19	-	49348956	49349059	49351300	49351365	49348702	49348845	49355147	49355206
95	"ENSG00000130529.15"	"TRPM4"	chr19	+	49166040	49166215	49168259	49168423	49158191	49158259	49168552	49168736
96	"ENSG00000161558.10"	"TMEM143"	chr19	-	48345159	48345354	48360071	48360176	48343320	48343451	48363290	48363531
97	"ENSG00000161558.10"	"TMEM143"	chr19	-	48360071	48360176	48360318	48360568	48345159	48345354	48363290	48363531
98	"ENSG00000118156.12"	"ZNF541"	chr19	-	47538141	47538439	47539704	47539878	47532908	47532972	47540175	47540335
99	"ENSG00000079385.21"	"CEACAM1"	chr19	-	42515010	42515103	42516772	42516865	42512349	42512479	42521266	42521521
100	"ENSG00000079385.21"	"CEACAM1"	chr19	-	42515010	42515103	42518947	42519235	42512349	42512479	42521266	42521521
101	"ENSG00000079385.21"	"CEACAM1"	chr19	-	42516772	42516865	42518947	42519235	42512349	42512479	42521266	42521521
102	"ENSG00000076928.17"	"ARHGEF1"	chr19	+	41904948	41905036	41905174	41905261	41904215	41904383	41905759	41905827
103	"ENSG00000100124.14"	"ANKRD54"	chr22	-	37832957	37833109	37833158	37833206	37832636	37832744	37833683	37833755
104	"ENSG00000167578.17"	"RAB4B"	chr19	+	40783777	40783840	40783920	40784075	40780384	40780499	40786664	40786760
105	"ENSG00000090006.17"	"LTBP4"	chr19	+	40616888	40617020	40617099	40617225	40614314	40614446	40619346	40619493
106	"ENSG00000068903.19"	"SIRT2"	chr19	-	38890564	38890662	38891793	38891966	38890102	38890144	38893413	38893527
107	"ENSG00000130402.11"	"ACTN4"	chr19	+	38710256	38710342	38711275	38711361	38709394	38709476	38714468	38714561
108	"ENSG00000130402.11"	"ACTN4"	chr19	+	38727945	38728026	38728315	38728381	38726956	38727103	38728995	38729154
109	"ENSG00000104814.12"	"MAP4K1"	chr19	-	38589177	38589275	38592449	38592497	38587640	38587817	38593281	38593337
110	"ENSG00000120784.16"	"ZFP30"	chr19	-	37665983	37666262	37686450	37686522	37654711	37654879	37691520	37691618
111	"ENSG00000245680.9"	"ZNF585B"	chr19	-	37195880	37196019	37198938	37199054	37190023	37190150	37207039	37207254
112	"ENSG00000239382.10"	"ALKBH6"	chr19	-	36011403	36011464	36013000	36013089	36010893	36011045	36013343	36013422
113	"ENSG00000161249.20"	"DMKN"	chr19	-	35505938	35505986	35509910	35509961	35505717	35505765	35510183	35510252
114	"ENSG00000161249.20"	"DMKN"	chr19	-	35505938	35506049	35509910	35509961	35505717	35505765	35510183	35510252
115	"ENSG00000161249.20"	"DMKN"	chr19	-	35506125	35506185	35507457	35507511	35505938	35505986	35508204	35508240
116	"ENSG00000161249.20"	"DMKN"	chr19	-	35506125	35506185	35508204	35508240	35505938	35505986	35509910	35509961
117	"ENSG00000161249.20"	"DMKN"	chr19	-	35506478	35506665	35508204	35508240	35506125	35506185	35509910	35509961
118	"ENSG00000161249.20"	"DMKN"	chr19	-	35506509	35506665	35507457	35507511	35506125	35506185	35508204	35508240
119	"ENSG00000105695.14"	"MAG"	chr19	+	35295385	35295454	35295454	35295510	35294234	35294290	35295612	35295981
120	"ENSG00000160191.17"	"PDE9A"	chr21	+	42686191	42686262	42687916	42687994	42653778	42653883	42698967	42699011
121	"ENSG00000160191.17"	"PDE9A"	chr21	+	42687916	42687994	42698967	42699011	42653778	42653883	42733355	42733426
122	"ENSG00000160191.17"	"PDE9A"	chr21	+	42687916	42687994	42732069	42732124	42653778	42653883	42733355	42733426
123	"ENSG00000160191.17"	"PDE9A"	chr21	+	42698967	42699011	42732069	42732124	42653778	42653883	42733355	42733426
124	"ENSG00000160191.17"	"PDE9A"	chr21	+	42724555	42724634	42731769	42731949	42698967	42699011	42732069	42732124
125	"ENSG00000160191.17"	"PDE9A"	chr21	+	42731769	42731949	42732069	42732124	42698967	42699011	42733355	42733426
126	"ENSG00000257103.8"	"LSM14A"	chr19	+	34208928	34209051	34215123	34215300	34196633	34196763	34215595	34215661
127	"ENSG00000105171.9"	"POP4"	chr19	+	29610408	29610457	29611861	29611939	29608656	29608709	29612116	29612178
128	"ENSG00000214046.8"	"SMIM7"	chr19	-	16655237	16655368	16659157	16659255	16654034	16654125	16659394	16659447
129	"ENSG00000141977.9"	"CIB3"	chr19	-	16168136	16168284	16173161	16173196	16164717	16164913	16173424	16173475
130	"ENSG00000186529.15"	"CYP4F3"	chr19	+	15643906	15644051	15645718	15645863	15641414	15641613	15647051	15647105
131	"ENSG00000127507.17"	"ADGRE2"	chr19	-	14754953	14755127	14755653	14755877	14752328	14752526	14756237	14756345
132	"ENSG00000123159.15"	"GIPC1"	chr19	-	14482688	14483006	14491655	14491743	14480592	14480778	14496036	14496132
133	"ENSG00000141837.19"	"CACNA1A"	chr19	-	13227430	13227527	13228698	13228795	13224666	13224772	13230081	13230209
134	"ENSG00000141837.19"	"CACNA1A"	chr19	-	13236448	13236618	13241520	13241526	13235613	13235730	13245181	13245265
135	"ENSG00000105607.12"	"GCDH"	chr19	+	12892115	12892178	12892316	12892434	12891830	12891974	12893482	12893653
136	"ENSG00000130164.13"	"LDLR"	chr19	+	11102663	11102786	11105219	11105600	11100222	11100345	11106564	11106687
137	"ENSG00000079805.16"	"DNM2"	chr19	+	10796060	10796199	10797379	10797518	10795371	10795439	10798485	10798572
138	"ENSG00000171466.9"	"ZNF562"	chr19	-	9658008	9658135	9659378	9659467	9656546	9656653	9660719	9660874
139	"ENSG00000171469.10"	"ZNF561"	chr19	-	9617044	9617171	9618090	9618179	9614020	9614103	9619431	9619582
140	"ENSG00000130818.11"	"ZNF426"	chr19	-	9533839	9533966	9535187	9535279	9532844	9532925	9536207	9536356
141	"ENSG00000099783.11"	"HNRNPM"	chr19	+	8462528	8462589	8463496	8463500	8455404	8455574	8463592	8463686
142	"ENSG00000099783.11"	"HNRNPM"	chr19	+	8462528	8462589	8463496	8463504	8455404	8455574	8463592	8463686
143	"ENSG00000087903.12"	"RFX2"	chr19	-	6042043	6042123	6044192	6044282	6039979	6040241	6047406	6047504
144	"ENSG00000142002.17"	"DPP9"	chr19	-	4715528	4715726	4719202	4719324	4714080	4714337	4719850	4719941
145	"ENSG00000071564.14"	"TCF3"	chr19	-	1612206	1612430	1615284	1615520	1611703	1611849	1615685	1615821
146	"ENSG00000071564.14"	"TCF3"	chr19	-	1612206	1612433	1615284	1615520	1609289	1611849	1615685	1615821
147	"ENSG00000182087.13"	"TMEM259"	chr19	-	1010990	1011095	1011095	1011195	1009647	1010895	1011366	1011499
148	"ENSG00000060069.16"	"CTDP1"	chr18	+	79728906	79729069	79736354	79736521	79717809	79718016	79753651	79754503
149	"ENSG00000197971.14"	"MBP"	chr18	-	76990826	76990914	77009848	77009926	76989955	76990060	77016831	77017055
150	"ENSG00000130856.16"	"ZNF236"	chr18	+	76931066	76931228	76935979	76936061	76927926	76928106	76937155	76937343
151	"ENSG00000166479.9"	"TMX3"	chr18	-	68700404	68700485	68701744	68701790	68697931	68698031	68710020	68710144
152	"ENSG00000166479.9"	"TMX3"	chr18	-	68701744	68701790	68710020	68710144	68700404	68700485	68711363	68711403
153	"ENSG00000134444.14"	"KIAA1468"	chr18	+	62279773	62279856	62280359	62280442	62275373	62275473	62280645	62280709
154	"ENSG00000197563.10"	"PIGN"	chr18	-	62058815	62059020	62059047	62059168	62056721	62056844	62072672	62072725
155	"ENSG00000197563.10"	"PIGN"	chr18	-	62162252	62162329	62163530	62163656	62161132	62161385	62186843	62187038
156	"ENSG00000258609.3"	"LINC-ROR"	chr18	-	57058886	57059243	57060352	57060516	57058677	57058750	57069809	57070003
157	"ENSG00000258609.3"	"LINC-ROR"	chr18	-	57059202	57059243	57060352	57060516	57058677	57058750	57069809	57070003
158	"ENSG00000141644.17"	"MBD1"	chr18	-	50274185	50274353	50274976	50275045	50273563	50273863	50275128	50275245
159	"ENSG00000267586.6"	"RP11-21F16.1"	chr18	+	42289503	42289594	42335083	42335303	42225963	42226107	42453931	42454098
160	"ENSG00000134769.21"	"DTNA"	chr18	+	34829399	34829489	34838093	34838171	34827592	34827676	34848295	34848383
161	"ENSG00000141380.13"	"SS18"	chr18	-	26079010	26079125	26080304	26080423	26078075	26078160	26087500	26087577
162	"ENSG00000141380.13"	"SS18"	chr18	-	26079010	26079125	26081224	26081365	26078075	26078160	26087500	26087577
163	"ENSG00000141380.13"	"SS18"	chr18	-	26079010	26079125	26082362	26082528	26078075	26078160	26087500	26087577
164	"ENSG00000141380.13"	"SS18"	chr18	-	26079010	26079125	26084051	26084175	26078075	26078160	26087500	26087577
165	"ENSG00000141380.13"	"SS18"	chr18	-	26079010	26079146	26082362	26082528	26078075	26078160	26084051	26084175
166	"ENSG00000141380.13"	"SS18"	chr18	-	26080304	26080423	26081224	26081365	26078075	26078160	26087500	26087577
167	"ENSG00000141380.13"	"SS18"	chr18	-	26080304	26080423	26082362	26082528	26078075	26078160	26087500	26087577
168	"ENSG00000141380.13"	"SS18"	chr18	-	26080304	26080423	26084051	26084175	26078075	26078160	26087500	26087577
169	"ENSG00000141380.13"	"SS18"	chr18	-	26081224	26081365	26082362	26082528	26078075	26078160	26087500	26087577
170	"ENSG00000141380.13"	"SS18"	chr18	-	26081224	26081365	26084051	26084175	26078075	26078160	26087500	26087577
171	"ENSG00000141380.13"	"SS18"	chr18	-	26082362	26082528	26084051	26084175	26078075	26078160	26087500	26087577
172	"ENSG00000141380.13"	"SS18"	chr18	-	26082362	26082528	26084051	26084175	26079010	26079146	26087500	26087577
173	"ENSG00000141447.17"	"OSBPL1A"	chr18	-	24301292	24301324	24302388	24302751	24280841	24280948	24303636	24303718
174	"ENSG00000141447.17"	"OSBPL1A"	chr18	-	24341546	24341658	24366891	24366966	24334244	24334330	24368366	24368372
175	"ENSG00000134490.13"	"TMEM241"	chr18	-	23370215	23370261	23371421	23371470	23368714	23368750	23373711	23373763
176	"ENSG00000134490.13"	"TMEM241"	chr18	-	23399565	23399647	23421366	23421444	23384989	23385067	23430630	23430677
177	"ENSG00000167733.13"	"HSD11B1L"	chr19	+	5684818	5684905	5684964	5685119	5681023	5681271	5686899	5686991
178	"ENSG00000167733.13"	"HSD11B1L"	chr19	+	5684988	5685119	5686415	5686527	5684818	5684905	5686899	5686991
179	"ENSG00000167733.13"	"HSD11B1L"	chr19	+	5684992	5685119	5686415	5686527	5684818	5684905	5686899	5686991
180	"ENSG00000175354.19"	"PTPN2"	chr18	-	12819213	12819282	12821335	12821425	12817155	12817365	12825809	12825944
181	"ENSG00000082397.17"	"EPB41L3"	chr18	-	5400496	5400595	5400968	5401043	5398020	5398143	5406776	5406968
182	"ENSG00000082397.17"	"EPB41L3"	chr18	-	5508164	5508278	5518524	5518607	5489000	5489194	5539620	5539698
183	"ENSG00000101557.14"	"USP14"	chr18	+	166786	166819	178932	179037	163307	163453	180235	180339
184	"ENSG00000141562.17"	"NARF"	chr17	+	82472563	82472698	82478570	82478667	82468763	82468896	82478799	82478918
185	"ENSG00000178927.17"	"C17orf62"	chr17	-	82446622	82446696	82447579	82447621	82445863	82445960	82449169	82449292
186	"ENSG00000178927.17"	"C17orf62"	chr17	-	82449430	82449480	82450198	82450254	82449169	82449292	82450699	82450775
187	"ENSG00000141551.14"	"CSNK1D"	chr17	-	82253015	82253244	82255428	82255577	82252433	82252604	82265685	82265796
188	"ENSG00000183010.16"	"PYCR1"	chr17	-	81934325	81934489	81934652	81934745	81932383	81933376	81934925	81935147
189	"ENSG00000173818.16"	"ENDOV"	chr17	+	80417780	80417945	80422139	80422245	80415649	80415821	80423519	80423632
190	"ENSG00000173818.16"	"ENDOV"	chr17	+	80417780	80417945	80422205	80422245	80415649	80415821	80423519	80423632
191	"ENSG00000183077.15"	"AFMID"	chr17	+	78204827	78204900	78205439	78205518	78202702	78202751	78205945	78206050
192	"ENSG00000070526.14"	"ST6GALNAC1"	chr17	-	76626288	76626392	76626650	76626789	76626005	76626095	76627066	76627238
193	"ENSG00000167863.11"	"ATP5H"	chr17	-	75039871	75040041	75040091	75040163	75039208	75039271	75042180	75042277
194	"ENSG00000108654.14"	"DDX5"	chr17	-	64504221	64504318	64504676	64504842	64503982	64504116	64506075	64506289
195	"ENSG00000271605.5"	"MILR1"	chr17	+	64452596	64452866	64457399	64457684	64449313	64449355	64460821	64460932
196	"ENSG00000198231.12"	"DDX42"	chr17	+	63799479	63799523	63799588	63799625	63798037	63798099	63800467	63800617
197	"ENSG00000266173.6"	"STRADA"	chr17	-	63714005	63714108	63726637	63726695	63713405	63713527	63728333	63728413
198	"ENSG00000266173.6"	"STRADA"	chr17	-	63717074	63717154	63723297	63723326	63714005	63714108	63726637	63726695
199	"ENSG00000266173.6"	"STRADA"	chr17	-	63717074	63717154	63726637	63726695	63714005	63714108	63728333	63728413
200	"ENSG00000175063.16"	"UBE2C"	chr20	+	45814383	45814470	45815389	45815540	45813436	45813464	45815853	45815913
201	"ENSG00000175063.16"	"UBE2C"	chr20	+	45814383	45814470	45815540	45815745	45813436	45813464	45815853	45815913
202	"ENSG00000175063.16"	"UBE2C"	chr20	+	45815389	45815540	45815540	45815745	45813436	45813464	45815853	45815913
203	"ENSG00000175063.16"	"UBE2C"	chr20	+	45815389	45815540	45815540	45815745	45814383	45814470	45815853	45815913
204	"ENSG00000141376.22"	"BCAS3"	chr17	+	60688019	60688195	60688931	60689046	60683981	60684036	60689685	60689761
205	"ENSG00000062716.12"	"VMP1"	chr17	+	59735337	59735473	59737452	59737543	59731420	59731522	59738836	59738947
206	"ENSG00000169169.14"	"CPT1C"	chr19	+	49700683	49700855	49701316	49701418	49697325	49697465	49701496	49701634
207	"ENSG00000121064.12"	"SCPEP1"	chr17	+	56981081	56981230	56985377	56985467	56978133	56978235	56987694	56987850
208	"ENSG00000141198.15"	"TOM1L1"	chr17	+	54905488	54905567	54912665	54912815	54903707	54903792	54913747	54913873
209	"ENSG00000108848.15"	"LUC7L3"	chr17	+	50737286	50737479	50738140	50738199	50736959	50737026	50740305	50740345
210	"ENSG00000006283.17"	"CACNA1G"	chr17	+	50619682	50619826	50621659	50621794	50618654	50619008	50623906	50624075
211	"ENSG00000121067.17"	"SPOP"	chr17	-	49636758	49636809	49668026	49668078	49622732	49622876	49675894	49676016
212	"ENSG00000159210.9"	"SNF8"	chr17	-	48933204	48933346	48940923	48941062	48931642	48931717	48943924	48943975
213	"ENSG00000136436.14"	"CALCOCO2"	chr17	+	48843902	48844026	48846033	48846096	48841697	48841887	48848063	48848166
214	"ENSG00000136436.14"	"CALCOCO2"	chr17	+	48843902	48844026	48846442	48846514	48841697	48841887	48848063	48848166
215	"ENSG00000136436.14"	"CALCOCO2"	chr17	+	48846033	48846096	48846442	48846514	48841697	48841887	48848063	48848166
216	"ENSG00000108465.14"	"CDK5RAP3"	chr17	+	47971273	47971309	47971361	47971407	47971121	47971152	47973518	47973650
217	"ENSG00000108439.10"	"PNPO"	chr17	+	47945558	47945612	47945860	47945989	47944615	47944715	47946322	47946393
218	"ENSG00000030582.17"	"GRN"	chr17	+	44345530	44345605	44346088	44346228	44345301	44345334	44349157	44349302
219	"ENSG00000108840.15"	"HDAC5"	chr17	-	44092171	44092284	44092380	44092527	44091699	44091831	44092675	44092806
220	"ENSG00000108852.14"	"MPP2"	chr17	-	43898261	43898380	43904429	43904493	43883202	43883355	43907473	43907536
221	"ENSG00000236383.8"	"AC109326.1"	chr17	-	43223740	43223835	43223900	43224026	43223555	43223614	43224163	43224464
222	"ENSG00000012048.21"	"BRCA1"	chr17	-	43106455	43106533	43115725	43115779	43104867	43104956	43124016	43124115
223	"ENSG00000012048.21"	"BRCA1"	chr17	-	43110464	43110580	43112486	43112606	43106455	43106533	43115725	43115779
224	"ENSG00000131467.10"	"PSME3"	chr17	+	42838092	42838205	42838730	42838799	42837648	42837697	42838944	42839012
225	"ENSG00000108799.12"	"EZH1"	chr17	-	42722794	42722915	42724304	42724424	42720272	42720449	42727634	42727763
226	"ENSG00000108799.12"	"EZH1"	chr17	-	42722794	42722915	42727634	42727763	42720272	42720449	42728824	42728952
