ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1460	"ENSG00000112651.11"	"MRPL2"	chr6	-	43055896	43056196	43055896	43056007	43056080	43056196	1460	1,0	1,0	0,0	0,1	122	49	1	1.0	0.287,NA	NA,0.0	0.287
1493	"ENSG00000204469.12"	"PRRC2A"	chr6	+	31636732	31637136	31636732	31636945	31637041	31637136	1493	0,1	0,1	1,0	0,0	145	49	1	1.0	NA,0.253	1.0,NA	-0.747
1494	"ENSG00000204469.12"	"PRRC2A"	chr6	+	31637233	31637771	31637233	31637324	31637445	31637771	1494	0,0	1,0	1,0	1,0	170	49	1	1.0	0.0,NA	0.224,NA	-0.224
1497	"ENSG00000198563.13"	"DDX39B"	chr6	-	31532779	31535485	31532779	31532911	31535366	31535485	1497	8,6	0,0	9,10	1,0	2504	49	1	1.0	1.0,1.0	0.15,1.0	0.425
1499	"ENSG00000137409.19"	"MTCH1"	chr6	-	36970405	36970694	36970405	36970473	36970646	36970694	1499	1,2	0,1	1,0	0,0	222	49	1	1.0	1.0,0.306	1.0,NA	-0.347
1535	"ENSG00000160789.19"	"LMNA"	chr1	+	156137653	156138757	156137653	156137743	156138487	156138757	1535	0,1	0,0	4,0	0,1	793	49	1	1.0	NA,1.0	1.0,0.0	0.5
1586	"ENSG00000137221.14"	"TJAP1"	chr6	+	43503622	43506553	43503622	43503706	43504760	43506553	1586	0,0	1,0	4,0	0,0	1103	49	1	1.0	0.0,NA	1.0,NA	-1.0
1602	"ENSG00000066322.14"	"ELOVL1"	chr1	-	43364927	43365376	43364927	43365008	43365185	43365376	1602	0,0	1,0	1,0	1,0	226	49	1	1.0	0.0,NA	0.178,NA	-0.178
1642	"ENSG00000182774.11"	"RPS17"	chr15	-	82538305	82538985	82538305	82538371	82538879	82538985	1642	0,1	0,3	0,0	1,2	557	49	1	1.0	NA,0.028	0.0,0.0	0.028
1765	"ENSG00000197756.9"	"RPL37A"	chr2	+	216498824	216499398	216498824	216498877	216499269	216499398	1765	0,2	5,2	0,0	1,0	441	49	1	1.0	0.0,0.1	0.0,NA	0.05
1767	"ENSG00000197756.9"	"RPL37A"	chr2	+	216499948	216501467	216499948	216500031	216501340	216501467	1767	2,0	3,2	1,2	1,0	1358	49	0.733066632371	1.0	0.023,0.0	0.035,1.0	-0.506
1793	"ENSG00000198755.10"	"RPL10A"	chr6	+	35468798	35469027	35468798	35468873	35468946	35469027	1793	1,1	4,1	0,0	1,0	122	49	1	1.0	0.091,0.287	0.0,NA	0.189
1794	"ENSG00000198755.10"	"RPL10A"	chr6	+	35468946	35469529	35468946	35469027	35469380	35469529	1794	2,0	4,2	3,2	1,3	402	49	0.159122032377	1.0	0.057,0.0	0.268,0.075	-0.143
1912	"ENSG00000163682.16"	"RPL9"	chr4	-	39458193	39458440	39458193	39458309	39458393	39458440	1912	0,1	0,1	0,0	4,1	133	49	1	1.0	NA,0.269	0.0,0.0	0.269
1930	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179620891	179621397	179620891	179621035	179621241	179621397	1930	3,0	1,0	1,1	0,0	255	49	1	1.0	0.366,NA	1.0,1.0	-0.634
1931	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179623036	179624669	179623036	179623164	179623635	179624669	1931	0,1	0,0	1,1	0,1	520	49	1	1.0	NA,1.0	1.0,0.086	0.457
2022	"ENSG00000204628.11"	"RACK1"	chr5	-	181241491	181242345	181241491	181241639	181242173	181242345	2022	0,0	3,0	2,0	0,2	583	49	1	1.0	0.0,NA	1.0,0.0	-0.5
2044	"ENSG00000109332.19"	"UBE2D3"	chr4	-	102801453	102802638	102801453	102801559	102802560	102802638	2044	0,1	0,0	0,0	1,0	1050	49	1	1.0	NA,1.0	0.0,NA	1.0
2074	"ENSG00000221983.7"	"UBA52"	chr19	+	18574869	18575241	18574869	18574972	18575056	18575241	2074	0,0	1,1	0,1	2,0	133	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
2097	"ENSG00000075624.14"	"ACTB"	chr7	-	5528280	5529400	5528280	5528719	5529160	5529400	2097	2,2	7,6	3,4	4,4	490	49	0.142829808631	1.0	0.028,0.032	0.07,0.091	-0.051
2098	"ENSG00000075624.14"	"ACTB"	chr7	-	5529160	5529663	5529160	5529400	5529534	5529663	2098	1,0	4,3	0,0	5,6	183	49	1	1.0	0.063,0.0	0.0,0.0	0.032
2110	"ENSG00000085662.13"	"AKR1B1"	chr7	-	134447297	134448061	134447297	134447381	134447979	134448061	2110	0,1	1,0	0,1	1,0	647	49	1	1.0	0.0,1.0	0.0,1.0	0.0
2112	"ENSG00000169714.16"	"CNBP"	chr3	-	129171078	129171538	129171078	129171277	129171445	129171538	2112	0,1	0,1	0,0	1,0	217	49	1	1.0	NA,0.184	0.0,NA	0.184
2224	"ENSG00000147140.15"	"NONO"	chrX	+	71297835	71298508	71297835	71297938	71298468	71298508	2224	3,0	0,0	0,2	1,0	579	49	1	1.0	1.0,NA	0.0,1.0	0.5
2262	"ENSG00000142534.6"	"RPS11"	chr19	+	49497193	49497595	49497193	49497325	49497519	49497595	2262	1,0	1,4	0,0	5,4	243	49	1	1.0	0.168,0.0	0.0,0.0	0.084
2264	"ENSG00000142534.6"	"RPS11"	chr19	+	49497193	49498046	49497193	49497595	49497916	49498046	2264	0,1	3,3	0,2	3,0	370	49	0.430008041155	1.0	0.0,0.042	0.0,1.0	-0.479
2366	"ENSG00000234741.7"	"GAS5"	chr1	-	173863900	173864304	173863900	173864075	173864256	173864304	2366	0,3	1,1	1,0	0,0	230	49	1	1.0	0.0,0.39	1.0,NA	-0.805
2369	"ENSG00000234741.7"	"GAS5"	chr1	-	173864483	173864704	173864483	173864506	173864674	173864704	2369	1,0	0,1	0,0	1,0	217	49	1	1.0	1.0,0.0	0.0,NA	0.5
2372	"ENSG00000234741.7"	"GAS5"	chr1	-	173865228	173865547	173865228	173865282	173865509	173865547	2372	1,0	1,0	1,0	0,0	276	49	1	1.0	0.151,NA	1.0,NA	-0.849
2373	"ENSG00000234741.7"	"GAS5"	chr1	-	173865856	173866206	173865856	173865894	173866176	173866206	2373	0,0	1,0	0,1	1,0	331	49	1	1.0	0.0,NA	0.0,1.0	-0.5
2431	"ENSG00000114021.11"	"NIT2"	chr3	+	100345584	100346255	100345584	100345678	100346180	100346255	2431	0,0	1,0	0,2	0,0	551	49	1	1.0	0.0,NA	NA,1.0	-1.0
2497	"ENSG00000143947.13"	"RPS27A"	chr2	+	55234118	55234962	55234118	55234204	55234830	55234962	2497	1,0	6,3	0,0	0,2	675	49	1	1.0	0.012,0.0	NA,0.0	0.006
2652	"ENSG00000137818.11"	"RPLP1"	chr15	+	69453646	69455287	69453646	69453721	69455169	69455287	2652	0,2	4,4	0,0	1,0	1497	49	1	1.0	0.0,0.016	0.0,NA	0.008
2727	"ENSG00000142910.15"	"TINAGL1"	chr1	+	31585439	31586755	31585439	31585485	31586709	31586755	2727	1,0	0,0	0,0	1,0	1273	49	1	1.0	1.0,NA	0.0,NA	1.0
2803	"ENSG00000164405.10"	"UQCRQ"	chr5	+	132866868	132867687	132866868	132867035	132867487	132867687	2803	0,0	1,1	1,0	1,0	501	49	1	1.0	0.0,0.0	0.089,NA	-0.089
2804	"ENSG00000138385.15"	"SSB"	chr2	+	169808476	169808902	169808476	169808553	169808859	169808902	2804	0,0	1,0	1,0	1,0	355	49	1	1.0	0.0,NA	0.121,NA	-0.121
2815	"ENSG00000103496.14"	"STX4"	chr16	+	31034225	31034536	31034225	31034325	31034461	31034536	2815	0,0	0,1	0,1	0,0	185	49	1	1.0	NA,0.0	NA,1.0	-1.0
2916	"ENSG00000101361.16"	"NOP56"	chr20	+	2657080	2658393	2657080	2657218	2657928	2658393	2916	0,0	1,1	2,2	0,0	759	49	1.24588894757e-09	1.58227896341e-07	0.0,0.0	1.0,1.0	-1.0
3038	"ENSG00000168028.13"	"RPSA"	chr3	+	39411895	39412434	39411895	39412061	39412273	39412434	3038	0,0	5,2	1,0	1,2	261	49	1	1.0	0.0,0.0	0.158,0.0	-0.079
3237	"ENSG00000155366.16"	"RHOC"	chr1	-	112702562	112703119	112702562	112702693	112702998	112703119	3237	1,0	0,0	0,1	0,1	354	49	1	1.0	1.0,NA	NA,0.122	0.878
3364	"ENSG00000196262.13"	"PPIA"	chr7	+	44799391	44799874	44799391	44799480	44799701	44799874	3364	0,1	0,2	0,3	2,1	270	49	1	1.0	NA,0.083	0.0,0.353	-0.093
3568	"ENSG00000143761.15"	"ARF1"	chr1	+	228097077	228097452	228097077	228097262	228097341	228097452	3568	0,0	0,1	1,0	1,0	128	49	1	1.0	NA,0.0	0.277,NA	-0.277
3631	"ENSG00000197448.13"	"GSTK1"	chr7	+	143264991	143265296	143264991	143265092	143265260	143265296	3631	0,0	0,1	1,0	0,0	217	49	1	1.0	NA,0.0	1.0,NA	-1.0
3754	"ENSG00000168291.12"	"PDHB"	chr3	-	58431876	58433684	58431876	58431984	58433630	58433684	3754	0,0	0,1	2,0	0,0	1695	49	1	1.0	NA,0.0	1.0,NA	-1.0
3779	"ENSG00000188846.13"	"RPL14"	chr3	+	40461406	40461661	40461406	40461506	40461607	40461661	3779	0,1	0,2	1,0	2,2	150	49	1	1.0	NA,0.14	0.14,0.0	0.07
3949	"ENSG00000105193.8"	"RPS16"	chr19	-	39433664	39435708	39433664	39433761	39435606	39435708	3949	3,2	2,1	1,2	1,0	1894	49	0.421516543954	1.0	0.037,0.049	0.025,1.0	-0.469
3967	"ENSG00000115053.15"	"NCL"	chr2	-	231458265	231459125	231458265	231458389	231459000	231459125	3967	1,0	0,1	0,2	3,1	660	49	1	1.0	1.0,0.0	0.0,0.129	0.435
4028	"ENSG00000203875.10"	"SNHG5"	chr6	-	85677794	85678032	85677794	85677868	85677953	85678032	4028	0,0	0,1	0,1	0,0	134	49	1	1.0	NA,0.0	NA,1.0	-1.0
4031	"ENSG00000203875.10"	"SNHG5"	chr6	-	85678135	85678736	85678135	85678188	85678693	85678736	4031	0,0	0,2	0,1	0,0	554	49	1	1.0	NA,0.0	NA,1.0	-1.0
4055	"ENSG00000187514.16"	"PTMA"	chr2	+	231711347	231711983	231711347	231711419	231711889	231711983	4055	0,1	0,1	0,0	0,4	519	49	1	1.0	NA,0.086	NA,0.0	0.086
4120	"ENSG00000168036.17"	"CTNNB1"	chr3	+	41239133	41239900	41239133	41239354	41239659	41239900	4120	1,1	0,0	0,3	1,0	354	49	0.0966599662336	1.0	1.0,1.0	0.0,1.0	0.5
4252	"ENSG00000063177.12"	"RPL18"	chr19	-	48615330	48615946	48615330	48615447	48615876	48615946	4252	0,0	3,2	0,1	1,1	478	49	1	1.0	0.0,0.0	0.0,0.093	-0.046
4324	"ENSG00000172354.9"	"GNB2"	chr7	+	100677497	100677818	100677497	100677660	100677751	100677818	4324	0,1	0,1	0,1	0,0	140	49	1	1.0	NA,0.259	NA,1.0	-0.741
4327	"ENSG00000166508.17"	"MCM7"	chr7	-	100099022	100099403	100099022	100099203	100099278	100099403	4327	0,0	0,1	0,1	0,0	124	49	1	1.0	NA,0.0	NA,1.0	-1.0
4368	"ENSG00000231500.6"	"RPS18"	chr6	+	33275964	33276267	33275964	33276066	33276175	33276267	4368	2,3	2,6	1,0	5,3	158	49	0.015499029571	0.656125585172	0.237,0.134	0.058,0.0	0.157
4383	"ENSG00000142676.13"	"RPL11"	chr1	+	23694659	23695908	23694659	23694791	23695797	23695908	4383	3,0	6,5	0,2	1,2	1055	49	0.543247474707	1.0	0.023,0.0	0.0,0.044	-0.01
4581	"ENSG00000089737.16"	"DDX24"	chr14	-	94054995	94057897	94054995	94055184	94057821	94057897	4581	0,0	0,1	2,0	0,0	2686	49	1	1.0	NA,0.0	1.0,NA	-1.0
4588	"ENSG00000138796.16"	"HADH"	chr4	+	108023473	108027760	108023473	108023563	108027687	108027760	4588	0,2	0,0	0,0	1,0	4173	49	1	1.0	NA,1.0	0.0,NA	1.0
4823	"ENSG00000148303.16"	"RPL7A"	chr9	+	133350239	133350727	133350239	133350319	133350596	133350727	4823	0,1	3,7	3,0	3,5	326	49	0.710213549763	1.0	0.0,0.021	0.131,0.0	-0.055
4825	"ENSG00000149273.14"	"RPS3"	chr11	+	75401639	75402446	75401639	75401733	75402351	75402446	4825	0,1	3,4	0,1	0,1	667	49	1	1.0	0.0,0.018	NA,0.068	-0.059
4893	"ENSG00000026025.15"	"VIM"	chr10	+	17235168	17236379	17235168	17235389	17235845	17236379	4893	1,3	3,5	0,0	5,0	505	49	1	1.0	0.031,0.055	0.0,NA	0.043
4894	"ENSG00000026025.15"	"VIM"	chr10	+	17235845	17236379	17235845	17235889	17236293	17236379	4894	4,3	2,3	0,2	2,2	453	49	0.0492057118873	1.0	0.178,0.098	0.0,0.098	0.089
4900	"ENSG00000131876.16"	"SNRPA1"	chr15	-	101285725	101287010	101285725	101285801	101286907	101287010	4900	0,0	1,0	0,1	0,0	1155	49	1	1.0	0.0,NA	NA,1.0	-1.0
4903	"ENSG00000120549.17"	"KIAA1217"	chr10	+	24544980	24547843	24544980	24545103	24545826	24547843	4903	0,0	1,0	2,1	0,0	772	49	1	1.0	0.0,NA	1.0,1.0	-1.0
4906	"ENSG00000206503.12"	"HLA-A"	chr6	+	29944499	29945091	29944499	29944616	29945058	29945091	4906	2,0	0,0	0,0	1,1	491	49	1	1.0	1.0,NA	0.0,0.0	1.0
5006	"ENSG00000175166.16"	"PSMD2"	chr3	+	184303319	184303749	184303319	184303466	184303642	184303749	5006	0,0	1,0	1,2	0,1	225	49	1	1.0	0.0,NA	1.0,0.303	-0.651
5008	"ENSG00000151923.17"	"TIAL1"	chr10	-	119576610	119577203	119576610	119576750	119577079	119577203	5008	0,2	0,0	0,0	0,1	378	49	1	1.0	NA,1.0	NA,0.0	1.0
5058	"ENSG00000143321.18"	"HDGF"	chr1	-	156745007	156745373	156745007	156745146	156745296	156745373	5058	1,0	0,0	0,0	0,2	199	49	1	1.0	1.0,NA	NA,0.0	1.0
5064	"ENSG00000166333.13"	"ILK"	chr11	+	6608693	6608967	6608693	6608790	6608883	6608967	5064	0,0	0,1	0,1	0,0	142	49	1	1.0	NA,0.0	NA,1.0	-1.0
5089	"ENSG00000167996.15"	"FTH1"	chr11	-	61964986	61965515	61964986	61965105	61965368	61965515	5089	4,2	0,0	2,0	1,0	312	49	1	1.0	1.0,1.0	0.239,NA	0.761
5090	"ENSG00000167996.15"	"FTH1"	chr11	-	61964986	61965515	61964986	61965112	61965368	61965515	5090	3,2	5,1	2,0	4,4	305	49	0.125074685544	1.0	0.088,0.243	0.074,0.0	0.128
5199	"ENSG00000173113.6"	"TRMT112"	chr11	-	64316690	64317147	64316690	64316968	64317057	64317147	5199	2,0	1,1	0,0	1,0	138	49	1	1.0	0.415,0.0	0.0,NA	0.207
5257	"ENSG00000102901.12"	"CENPT"	chr16	-	67829764	67830548	67829764	67830088	67830389	67830548	5257	0,0	0,1	1,0	0,0	350	49	1	1.0	NA,0.0	1.0,NA	-1.0
5272	"ENSG00000089818.17"	"NECAP1"	chr12	+	8090194	8091850	8090194	8090299	8091768	8091850	5272	0,0	1,0	1,0	0,0	1518	49	1	1.0	0.0,NA	1.0,NA	-1.0
5288	"ENSG00000111640.14"	"GAPDH"	chr12	+	6536683	6537010	6536683	6536790	6536919	6537010	5288	0,2	4,4	2,1	5,2	178	49	0.327011149281	1.0	0.0,0.121	0.099,0.121	-0.05
5351	"ENSG00000205581.10"	"HMGN1"	chr21	-	39345145	39348339	39345145	39345274	39348291	39348339	5351	2,3	1,1	2,0	0,1	3066	49	0.616498710756	1.0	0.031,0.046	1.0,0.0	-0.462
5513	"ENSG00000123416.15"	"TUBA1B"	chr12	-	49129499	49131395	49129499	49129722	49131297	49131395	5513	0,0	0,1	1,0	1,1	1624	49	1	1.0	NA,0.0	0.029,0.0	-0.015
5525	"ENSG00000115875.18"	"SRSF7"	chr2	-	38748578	38749705	38748578	38748653	38749528	38749705	5525	1,1	1,1	3,0	0,0	924	49	1	1.0	0.05,0.05	1.0,NA	-0.95
5541	"ENSG00000135446.16"	"CDK4"	chr12	-	57751206	57751736	57751206	57751342	57751499	57751736	5541	0,1	0,0	0,0	1,0	206	49	1	1.0	NA,1.0	0.0,NA	1.0
5577	"ENSG00000092841.18"	"MYL6"	chr12	+	56159586	56160148	56159586	56159730	56159974	56160148	5577	0,0	1,1	0,1	2,0	293	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
5590	"ENSG00000196531.10"	"NACA"	chr12	-	56712439	56712908	56712439	56712552	56712785	56712908	5590	1,1	1,1	0,0	0,1	282	49	1	1.0	0.148,0.148	NA,0.0	0.148
5623	"ENSG00000156482.10"	"RPL30"	chr8	-	98044942	98045399	98044942	98045088	98045346	98045399	5623	0,0	3,4	0,1	1,0	307	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
5641	"ENSG00000075415.12"	"SLC25A3"	chr12	+	98593974	98595848	98593974	98594135	98595726	98595848	5641	2,1	1,0	2,0	0,0	1640	49	1	1.0	0.056,1.0	1.0,NA	-0.472
5667	"ENSG00000089157.15"	"RPLP0"	chr12	-	120199117	120199485	120199117	120199205	120199309	120199485	5667	1,1	4,4	0,1	1,1	153	49	0.25788279514	1.0	0.074,0.074	0.0,0.243	-0.048
5912	"ENSG00000104904.12"	"OAZ1"	chr19	+	2271384	2271954	2271384	2271530	2271781	2271954	5912	1,0	3,2	0,0	0,1	300	49	1	1.0	0.052,0.0	NA,0.0	0.026
5979	"ENSG00000137801.10"	"THBS1"	chr15	+	39593396	39594196	39593396	39593668	39594098	39594196	5979	0,1	0,0	0,0	1,3	479	49	1	1.0	NA,1.0	0.0,0.0	1.0
5991	"ENSG00000166710.17"	"B2M"	chr15	+	44715422	44716356	44715422	44715701	44716328	44716356	5991	0,1	0,2	0,2	4,1	676	49	1	1.0	NA,0.035	0.0,0.127	-0.028
6010	"ENSG00000174444.14"	"RPL4"	chr15	-	66503057	66503529	66503057	66503164	66503357	66503529	6010	0,1	1,2	0,0	3,2	242	49	1	1.0	0.0,0.092	0.0,0.0	0.046
