ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1287	"ENSG00000140988.15"	"RPS2"	chr16	-	1962060	1962656	1962060	1962270	1962496	1962656	1287	0,0	6,5	0,1	2,5	98	49	1	1.0	0.0,0.0	0.0,0.091	-0.045
1291	"ENSG00000140988.15"	"RPS2"	chr16	-	1962496	1963256	1962496	1962909	1963148	1963256	1291	2,0	2,6	0,1	1,1	98	49	0.64217314134	1.0	0.333,0.0	0.0,0.333	0.0
1434	"ENSG00000156508.17"	"EEF1A1"	chr6	-	73518931	73519516	73518931	73519228	73519336	73519516	1434	0,2	14,15	1,2	14,11	98	49	0.406813252892	1.0	0.0,0.062	0.034,0.083	-0.028
1460	"ENSG00000112651.11"	"MRPL2"	chr6	-	43055896	43056196	43055896	43056007	43056080	43056196	1460	1,0	1,0	0,0	0,1	98	49	1	1.0	0.333,NA	NA,0.0	0.333
1493	"ENSG00000204469.12"	"PRRC2A"	chr6	+	31636732	31637136	31636732	31636945	31637041	31637136	1493	0,1	0,1	1,0	0,0	98	49	1	1.0	NA,0.333	1.0,NA	-0.667
1494	"ENSG00000204469.12"	"PRRC2A"	chr6	+	31637233	31637771	31637233	31637324	31637445	31637771	1494	0,0	1,0	1,0	1,0	98	49	1	1.0	0.0,NA	0.333,NA	-0.333
1499	"ENSG00000137409.19"	"MTCH1"	chr6	-	36970405	36970694	36970405	36970473	36970646	36970694	1499	0,2	0,1	1,0	0,0	98	49	1	1.0	NA,0.5	1.0,NA	-0.5
1602	"ENSG00000066322.14"	"ELOVL1"	chr1	-	43364927	43365376	43364927	43365008	43365185	43365376	1602	0,0	1,0	1,0	1,0	98	49	1	1.0	0.0,NA	0.333,NA	-0.333
1642	"ENSG00000182774.11"	"RPS17"	chr15	-	82538305	82538985	82538305	82538371	82538879	82538985	1642	0,1	0,3	0,0	1,2	98	49	1	1.0	NA,0.143	0.0,0.0	0.143
1767	"ENSG00000197756.9"	"RPL37A"	chr2	+	216499948	216501467	216499948	216500031	216501340	216501467	1767	2,0	3,2	1,2	1,0	98	49	0.00172373157398	0.0586068735153	0.25,0.0	0.333,1.0	-0.541
1793	"ENSG00000198755.10"	"RPL10A"	chr6	+	35468798	35469027	35468798	35468873	35468946	35469027	1793	1,1	4,1	0,0	1,0	98	49	1	1.0	0.111,0.333	0.0,NA	0.222
1794	"ENSG00000198755.10"	"RPL10A"	chr6	+	35468946	35469529	35468946	35469027	35469380	35469529	1794	1,0	4,2	0,1	1,3	98	49	1	1.0	0.111,0.0	0.0,0.143	-0.016
1912	"ENSG00000163682.16"	"RPL9"	chr4	-	39458193	39458440	39458193	39458309	39458393	39458440	1912	0,1	0,1	0,0	4,1	98	49	1	1.0	NA,0.333	0.0,0.0	0.333
1930	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179620891	179621397	179620891	179621035	179621241	179621397	1930	1,0	1,0	1,1	0,0	98	49	1	1.0	0.333,NA	1.0,1.0	-0.667
1931	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179623036	179624669	179623036	179623164	179623635	179624669	1931	0,1	0,0	1,1	0,1	98	49	1	1.0	NA,1.0	1.0,0.333	0.334
2022	"ENSG00000204628.11"	"RACK1"	chr5	-	181241491	181242345	181241491	181241639	181242173	181242345	2022	0,0	3,0	2,0	0,2	98	49	1	1.0	0.0,NA	1.0,0.0	-0.5
2044	"ENSG00000109332.19"	"UBE2D3"	chr4	-	102801453	102802638	102801453	102801559	102802560	102802638	2044	0,1	0,0	0,0	1,0	98	49	1	1.0	NA,1.0	0.0,NA	1.0
2074	"ENSG00000221983.7"	"UBA52"	chr19	+	18574869	18575241	18574869	18574972	18575056	18575241	2074	0,0	1,1	0,1	2,0	98	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
2097	"ENSG00000075624.14"	"ACTB"	chr7	-	5528280	5529400	5528280	5528719	5529160	5529400	2097	2,2	7,6	3,3	4,4	98	49	0.218804440511	1.0	0.125,0.143	0.273,0.273	-0.139
2098	"ENSG00000075624.14"	"ACTB"	chr7	-	5529160	5529663	5529160	5529400	5529534	5529663	2098	1,0	4,3	0,0	5,6	98	49	1	1.0	0.111,0.0	0.0,0.0	0.056
2110	"ENSG00000085662.13"	"AKR1B1"	chr7	-	134447297	134448061	134447297	134447381	134447979	134448061	2110	0,1	1,0	0,1	1,0	98	49	1	1.0	0.0,1.0	0.0,1.0	0.0
2112	"ENSG00000169714.16"	"CNBP"	chr3	-	129171078	129171538	129171078	129171277	129171445	129171538	2112	0,1	0,1	0,0	1,0	98	49	1	1.0	NA,0.333	0.0,NA	0.333
2262	"ENSG00000142534.6"	"RPS11"	chr19	+	49497193	49497595	49497193	49497325	49497519	49497595	2262	1,0	1,4	0,0	5,4	98	49	1	1.0	0.333,0.0	0.0,0.0	0.167
2264	"ENSG00000142534.6"	"RPS11"	chr19	+	49497193	49498046	49497193	49497595	49497916	49498046	2264	0,1	3,3	0,1	3,0	98	49	1	1.0	0.0,0.143	0.0,1.0	-0.428
2366	"ENSG00000234741.7"	"GAS5"	chr1	-	173863900	173864304	173863900	173864075	173864256	173864304	2366	0,1	1,1	1,0	0,0	98	49	1	1.0	0.0,0.333	1.0,NA	-0.834
2369	"ENSG00000234741.7"	"GAS5"	chr1	-	173864483	173864704	173864483	173864506	173864674	173864704	2369	1,0	0,1	0,0	1,0	98	49	1	1.0	1.0,0.0	0.0,NA	0.5
2372	"ENSG00000234741.7"	"GAS5"	chr1	-	173865228	173865547	173865228	173865282	173865509	173865547	2372	1,0	1,0	1,0	0,0	98	49	1	1.0	0.333,NA	1.0,NA	-0.667
2373	"ENSG00000234741.7"	"GAS5"	chr1	-	173865856	173866206	173865856	173865894	173866176	173866206	2373	0,0	1,0	0,1	1,0	98	49	1	1.0	0.0,NA	0.0,1.0	-0.5
2497	"ENSG00000143947.13"	"RPS27A"	chr2	+	55234118	55234962	55234118	55234204	55234830	55234962	2497	1,0	6,3	0,0	0,2	98	49	1	1.0	0.077,0.0	NA,0.0	0.038
2803	"ENSG00000164405.10"	"UQCRQ"	chr5	+	132866868	132867687	132866868	132867035	132867487	132867687	2803	0,0	1,1	1,0	1,0	98	49	1	1.0	0.0,0.0	0.333,NA	-0.333
2804	"ENSG00000138385.15"	"SSB"	chr2	+	169808476	169808902	169808476	169808553	169808859	169808902	2804	0,0	1,0	1,0	1,0	98	49	1	1.0	0.0,NA	0.333,NA	-0.333
2815	"ENSG00000103496.14"	"STX4"	chr16	+	31034225	31034536	31034225	31034325	31034461	31034536	2815	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
3038	"ENSG00000168028.13"	"RPSA"	chr3	+	39411895	39412434	39411895	39412061	39412273	39412434	3038	0,0	5,2	1,0	1,2	98	49	1	1.0	0.0,0.0	0.333,0.0	-0.167
3237	"ENSG00000155366.16"	"RHOC"	chr1	-	112702562	112703119	112702562	112702693	112702998	112703119	3237	1,0	0,0	0,1	0,1	98	49	1	1.0	1.0,NA	NA,0.333	0.667
3364	"ENSG00000196262.13"	"PPIA"	chr7	+	44799391	44799874	44799391	44799480	44799701	44799874	3364	0,1	0,2	0,3	2,1	98	49	1	1.0	NA,0.2	0.0,0.6	-0.1
3568	"ENSG00000143761.15"	"ARF1"	chr1	+	228097077	228097452	228097077	228097262	228097341	228097452	3568	0,0	0,1	1,0	1,0	98	49	1	1.0	NA,0.0	0.333,NA	-0.333
3779	"ENSG00000188846.13"	"RPL14"	chr3	+	40461406	40461661	40461406	40461506	40461607	40461661	3779	0,1	0,2	1,0	2,2	98	49	1	1.0	NA,0.2	0.2,0.0	0.1
3949	"ENSG00000105193.8"	"RPS16"	chr19	-	39433664	39435708	39433664	39433761	39435606	39435708	3949	1,0	2,1	0,0	1,0	98	49	1	1.0	0.2,0.0	0.0,NA	0.1
3967	"ENSG00000115053.15"	"NCL"	chr2	-	231458265	231459125	231458265	231458389	231459000	231459125	3967	1,0	0,1	0,2	3,1	98	49	0.644694583642	1.0	1.0,0.0	0.0,0.5	0.25
4028	"ENSG00000203875.10"	"SNHG5"	chr6	-	85677794	85678032	85677794	85677868	85677953	85678032	4028	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
4031	"ENSG00000203875.10"	"SNHG5"	chr6	-	85678135	85678736	85678135	85678188	85678693	85678736	4031	0,0	0,2	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
4055	"ENSG00000187514.16"	"PTMA"	chr2	+	231711347	231711983	231711347	231711419	231711889	231711983	4055	0,1	0,1	0,0	0,4	98	49	1	1.0	NA,0.333	NA,0.0	0.333
4120	"ENSG00000168036.17"	"CTNNB1"	chr3	+	41239133	41239900	41239133	41239354	41239659	41239900	4120	1,0	0,0	0,1	1,0	98	49	1	1.0	1.0,NA	0.0,1.0	0.5
4252	"ENSG00000063177.12"	"RPL18"	chr19	-	48615330	48615946	48615330	48615447	48615876	48615946	4252	0,0	3,2	0,1	1,1	98	49	1	1.0	0.0,0.0	0.0,0.333	-0.167
4324	"ENSG00000172354.9"	"GNB2"	chr7	+	100677497	100677818	100677497	100677660	100677751	100677818	4324	0,1	0,1	0,1	0,0	98	49	1	1.0	NA,0.333	NA,1.0	-0.667
4327	"ENSG00000166508.17"	"MCM7"	chr7	-	100099022	100099403	100099022	100099203	100099278	100099403	4327	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
4368	"ENSG00000231500.6"	"RPS18"	chr6	+	33275964	33276267	33275964	33276066	33276175	33276267	4368	2,3	2,6	1,0	5,3	98	49	1	1.0	0.333,0.2	0.091,0.0	0.221
4823	"ENSG00000148303.16"	"RPL7A"	chr9	+	133350239	133350727	133350239	133350319	133350596	133350727	4823	0,1	3,7	2,0	3,5	98	49	0.312809488597	1.0	0.0,0.067	0.25,0.0	-0.091
4825	"ENSG00000149273.14"	"RPS3"	chr11	+	75401639	75402446	75401639	75401733	75402351	75402446	4825	0,1	3,4	0,1	0,1	98	49	1	1.0	0.0,0.111	NA,0.333	-0.278
4893	"ENSG00000026025.15"	"VIM"	chr10	+	17235168	17236379	17235168	17235389	17235845	17236379	4893	1,3	3,5	0,0	5,0	98	49	1	1.0	0.143,0.231	0.0,NA	0.187
4894	"ENSG00000026025.15"	"VIM"	chr10	+	17235845	17236379	17235845	17235889	17236293	17236379	4894	4,3	2,3	0,0	2,2	98	49	2.35911079675e-05	0.00120314650634	0.5,0.333	0.0,0.0	0.416
4906	"ENSG00000206503.12"	"HLA-A"	chr6	+	29944499	29945091	29944499	29944616	29945058	29945091	4906	1,0	0,0	0,0	1,1	98	49	1	1.0	1.0,NA	0.0,0.0	1.0
5006	"ENSG00000175166.16"	"PSMD2"	chr3	+	184303319	184303749	184303319	184303466	184303642	184303749	5006	0,0	1,0	1,2	0,1	98	49	1	1.0	0.0,NA	1.0,0.5	-0.75
5058	"ENSG00000143321.18"	"HDGF"	chr1	-	156745007	156745373	156745007	156745146	156745296	156745373	5058	1,0	0,0	0,0	0,2	98	49	1	1.0	1.0,NA	NA,0.0	1.0
5064	"ENSG00000166333.13"	"ILK"	chr11	+	6608693	6608967	6608693	6608790	6608883	6608967	5064	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
5089	"ENSG00000167996.15"	"FTH1"	chr11	-	61964986	61965515	61964986	61965105	61965368	61965515	5089	4,2	0,0	1,0	1,0	98	49	1	1.0	1.0,1.0	0.333,NA	0.667
5090	"ENSG00000167996.15"	"FTH1"	chr11	-	61964986	61965515	61964986	61965112	61965368	61965515	5090	3,2	5,1	1,0	4,4	98	49	0.00480351593893	0.122489656443	0.231,0.5	0.111,0.0	0.31
5199	"ENSG00000173113.6"	"TRMT112"	chr11	-	64316690	64317147	64316690	64316968	64317057	64317147	5199	2,0	1,1	0,0	1,0	98	49	1	1.0	0.5,0.0	0.0,NA	0.25
5257	"ENSG00000102901.12"	"CENPT"	chr16	-	67829764	67830548	67829764	67830088	67830389	67830548	5257	0,0	0,1	1,0	0,0	98	49	1	1.0	NA,0.0	1.0,NA	-1.0
5272	"ENSG00000089818.17"	"NECAP1"	chr12	+	8090194	8091850	8090194	8090299	8091768	8091850	5272	0,0	1,0	1,0	0,0	98	49	1	1.0	0.0,NA	1.0,NA	-1.0
5288	"ENSG00000111640.14"	"GAPDH"	chr12	+	6536683	6537010	6536683	6536790	6536919	6537010	5288	0,2	4,4	2,1	5,2	98	49	0.292251951745	1.0	0.0,0.2	0.167,0.2	-0.083
5513	"ENSG00000123416.15"	"TUBA1B"	chr12	-	49129499	49131395	49129499	49129722	49131297	49131395	5513	0,0	0,1	1,0	1,1	98	49	1	1.0	NA,0.0	0.333,0.0	-0.167
5525	"ENSG00000115875.18"	"SRSF7"	chr2	-	38748578	38749705	38748578	38748653	38749528	38749705	5525	0,0	1,1	1,0	0,0	98	49	1	1.0	0.0,0.0	1.0,NA	-1.0
5541	"ENSG00000135446.16"	"CDK4"	chr12	-	57751206	57751736	57751206	57751342	57751499	57751736	5541	0,1	0,0	0,0	1,0	98	49	1	1.0	NA,1.0	0.0,NA	1.0
5577	"ENSG00000092841.18"	"MYL6"	chr12	+	56159586	56160148	56159586	56159730	56159974	56160148	5577	0,0	1,1	0,1	2,0	98	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
5590	"ENSG00000196531.10"	"NACA"	chr12	-	56712439	56712908	56712439	56712552	56712785	56712908	5590	1,0	1,1	0,0	0,1	98	49	1	1.0	0.333,0.0	NA,0.0	0.167
5623	"ENSG00000156482.10"	"RPL30"	chr8	-	98044942	98045399	98044942	98045088	98045346	98045399	5623	0,0	3,4	0,1	1,0	98	49	1	1.0	0.0,0.0	0.0,1.0	-0.5
5667	"ENSG00000089157.15"	"RPLP0"	chr12	-	120199117	120199485	120199117	120199205	120199309	120199485	5667	1,1	4,4	0,1	1,1	98	49	0.161252162532	1.0	0.111,0.111	0.0,0.333	-0.056
5912	"ENSG00000104904.12"	"OAZ1"	chr19	+	2271384	2271954	2271384	2271530	2271781	2271954	5912	1,0	3,2	0,0	0,1	98	49	1	1.0	0.143,0.0	NA,0.0	0.071
5979	"ENSG00000137801.10"	"THBS1"	chr15	+	39593396	39594196	39593396	39593668	39594098	39594196	5979	0,1	0,0	0,0	1,3	98	49	1	1.0	NA,1.0	0.0,0.0	1.0
5991	"ENSG00000166710.17"	"B2M"	chr15	+	44715422	44716356	44715422	44715701	44716328	44716356	5991	0,1	0,2	0,0	4,1	98	49	1	1.0	NA,0.2	0.0,0.0	0.2
6010	"ENSG00000174444.14"	"RPL4"	chr15	-	66503057	66503529	66503057	66503164	66503357	66503529	6010	0,1	1,2	0,0	3,2	98	49	1	1.0	0.0,0.2	0.0,0.0	0.1
